TLE_hctsa,TLE_RC,GTCS_hctsa,GTCS_RC
0.90651685,-0.012230236,1.234413028,-0.353563365
-1.025122855,0.010806081,-2.078390951,-0.348301589
-0.827293694,0.047331223,-2.15195775,-0.343324176
6.331550121,-0.340801278,7.541203022,-0.430364789
-0.250102589,-0.146218719,-1.837425252,-0.37979355
0.890045404,-0.273273333,3.273545504,-0.416056746
-1.854737282,0.052557237,-2.762942791,-0.347467967
-0.396346927,-0.042316831,-0.652545393,-0.36087209
-2.978280231,0.060521443,-2.556114732,-0.347007308
2.71303463,-0.294812085,6.136164188,-0.422300679
0.634962559,0.05557913,-2.451258898,-0.342378194
5.967335224,-0.339337314,7.546048641,-0.430118618
-1.979908684,0.073366666,-3.596675537,-0.337397458
-2.666197777,0.027076915,-1.825051069,-0.347934989
-2.24951911,-0.135209659,-2.265893459,-0.389951826
2.850849867,-0.269976326,3.00351572,-0.387634382
-1.463616848,-0.019900953,-1.170334816,-0.352248292
-1.74563098,0.029713144,-1.883056283,-0.343870822
-1.885285139,0.020465538,-1.286868811,-0.345594476
1.780568361,-0.340247399,3.572945595,-0.430283693
5.498392105,-0.267832656,5.608352661,-0.384359066
-1.872492976,0.055454128,-1.869835083,-0.338596664
5.469159126,-0.274514621,4.78230381,-0.384418851
-0.953925371,0.058243633,-2.533563852,-0.346883541
-2.67065651,0.070366583,-3.429255726,-0.339923613
-0.615461528,0.040708708,-2.357747555,-0.341585702
-1.24811697,0.049737105,-1.808947563,-0.343783536
2.378014565,-0.143550016,1.936994553,-0.377868263
-0.543566465,-0.071144117,2.10018301,-0.357876621
1.411699772,-0.04193014,0.00999802,-0.359748079
-0.168157071,0.070186937,-1.886969447,-0.339750978
-0.704976797,-0.041113142,-2.142634869,-0.367754212
-1.020980477,-0.089432667,1.194814563,-0.36487179
-0.429181983,-0.043204676,1.273872089,-0.356810525
-0.660470426,-0.014904923,-1.577899456,-0.354650566
-1.16394237,0.010886469,-1.888262517,-0.348298088
-3.162181616,0.04125616,-2.903901815,-0.341627567
3.869533539,-0.340637825,5.459933758,-0.430336091
-1.21043581,-0.163971745,-1.694925845,-0.393230149
0.553037107,-0.275402934,4.963685513,-0.418274907
-2.213439465,0.052492485,-3.216232061,-0.345819602
0.613765001,-0.084238576,0.920775294,-0.355825322
-3.366807593,0.06021736,-3.194585986,-0.346541744
1.776130676,-0.294540009,5.833116531,-0.430753728
1.440339923,0.057661287,-1.092206359,-0.340013384
4.319618702,-0.324709062,7.120778561,-0.429008882
-1.679497412,0.076281602,-3.254308311,-0.337500664
-2.829474688,0.027346739,-1.656938196,-0.348041796
-1.356456757,-0.253336982,0.096607462,-0.404970635
2.782069921,-0.269471997,3.202873707,-0.387656477
-0.135639161,-0.046572479,-1.962028027,-0.357292467
0.056335501,0.031459851,-1.164913058,-0.344085345
-0.218775183,-0.021502555,-1.558895588,-0.352887793
1.764051795,-0.340127268,4.393776894,-0.430273155
5.338949203,-0.267183288,4.962100029,-0.387478416
-1.927051477,0.061763235,-2.178325425,-0.338707026
5.003734589,-0.24661437,4.452829838,-0.384102915
-1.118079662,0.059885207,-2.40577364,-0.345974552
-2.017687665,0.059012468,-3.08341184,-0.344133467
-1.621753335,0.05360467,-2.497784138,-0.339534335
-1.76627636,0.051714698,-3.358247995,-0.342871714
4.209670067,-0.202945623,3.393583775,-0.381989017
0.117150038,-0.058649542,2.391804457,-0.358512519
1.05055809,-0.104728034,0.310419947,-0.361758508
-1.013157845,0.073795269,-1.670706153,-0.341430823
-0.643139603,-0.042303238,-0.611467896,-0.37068451
-1.564054251,-0.090351341,0.011382155,-0.364370873
0.795958885,-0.051568202,0.890919474,-0.358665667
